iter	Passed	Remaining
814	32873	7462
815	32942	7428
816	32982	7387
817	33025	7347
818	33073	7309
819	33117	7269
820	33162	7230
821	33200	7189
822	33229	7146
823	33273	7107
824	33310	7065
825	33354	7026
826	33397	6986
827	33437	6946
828	33469	6903
829	33509	6863
830	33539	6820
831	33598	6784
832	33631	6742
833	33663	6700
834	33688	6657
835	33718	6614
836	33744	6571
837	33765	6527
838	33786	6483
839	33810	6440
840	33835	6396
841	33865	6354
842	33895	6312
843	33917	6269
844	33947	6227
845	33976	6184
846	34001	6141
847	34024	6098
848	34053	6056
849	34079	6014
850	34109	5972
851	34143	5931
852	34168	5888
853	34185	5844
854	34220	5803
855	34251	5761
856	34279	5719
857	34308	5678
858	34328	5634
859	34355	5592
860	34382	5550
861	34408	5508
862	34435	5466
863	34465	5425
864	34495	5383
865	34524	5342
866	34559	5301
867	34607	5262
868	34639	5221
869	34666	5180
870	34691	5138
871	34719	5096
872	34750	5055
873	34774	5013
874	34799	4971
875	34832	4930
876	34857	4888
877	34884	4847
878	34909	4805
879	34940	4764
880	34966	4723
881	34989	4681
882	35017	4639
883	35051	4599
884	35079	4558
885	35117	4518
886	35152	4478
887	35181	4437
888	35204	4395
889	35228	4354
890	35253	4312
891	35279	4271
892	35302	4229
893	35330	4189
894	35360	4148
895	35375	4106
896	35402	4065
897	35435	4024
898	35466	3984
899	35491	3943
900	35514	3902
901	35557	3863
902	35595	3823
903	35619	3782
904	35651	3742
905	35676	3701
906	35699	3660
907	35725	3619
908	35768	3580
909	35799	3540
910	35843	3501
911	35893	3463
912	35964	3427
913	36013	3388
914	36068	3350
915	36115	3311
916	36158	3272
917	36195	3233
918	36223	3192
919	36270	3153
920	36305	3114
921	36337	3074
922	36378	3034
923	36415	2995
924	36450	2955
925	36517	2918
926	36582	2880
927	36621	2841
928	36668	2802
929	36705	2762
930	36742	2723
931	36775	2683
932	36805	2643
933	36843	2603
934	36884	2564
935	36920	2524
936	36946	2484
937	36974	2443
938	36998	2403
939	37019	2362
940	37044	2322
941	37070	2282
942	37095	2242
943	37121	2202
944	37148	2162
945	37173	2121
946	37197	2081
947	37218	2041
948	37240	2001
949	37269	1961
950	37296	1921
951	37317	1881
952	37341	1841
953	37373	1802
954	37397	1762
955	37426	1722
956	37457	1683
957	37479	1643
958	37509	1603
959	37553	1564
960	37589	1525
961	37616	1485
962	37643	1446
963	37669	1406
964	37697	1367
965	37721	1327
966	37752	1288
967	37782	1249
968	37808	1209
969	37830	1170
970	37860	1130
971	37891	1091
972	37910	1051
973	37937	1012
974	37976	973
975	38008	934
976	38043	895
977	38070	856
978	38100	817
979	38135	778
980	38173	739
981	38195	700
982	38226	661
983	38264	622
984	38298	583
985	38333	544
986	38369	505
987	38398	466
988	38422	427
989	38473	388
990	38501	349
991	38554	310
992	38603	272
993	38654	233
994	38679	194
995	38706	155
996	38731	116
997	38774	77
998	38808	38
999	38858	0
